HEADWORD	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	RANGE	FREQ
ANALYSE	286	721	542	796	272	505	327	485	813	677	281	638	12	6343
AL	55	734	1311	373	439	681	810	593	1832	522	270	463	12	8083
ACCORDING	79	188	252	162	28	109	115	74	137	126	57	89	12	1416
AMERICA	10	50	29	71	10	26	4	33	42	26	1	17	12	319
ASYNCHRONOUS	1	30	9	14	2	31	0	9	6	34	32	27	11	195
AZURE	0	0	0	0	0	0	0	0	21	0	0	3	2	24
ASIA	0	3	1	16	1	10	4	1	5	1	0	8	10	50
AUSTRALIA	0	8	9	10	4	23	2	10	13	3	2	10	11	94
AUSTRIA	4	0	4	3	0	3	1	0	1	0	0	1	7	17
ATTENUATE	0	6	36	33	59	13	8	0	6	2	0	7	9	170
AC	26	85	110	176	9	100	18	60	74	46	57	11	12	772
APRIL	24	44	66	58	5	40	23	16	11	10	8	17	12	322
AFRICA	2	4	0	1	6	1	0	3	3	0	0	4	8	24
AXE	5	31	77	10	37	11	96	28	11	5	14	66	12	391
ATM	0	6	1	28	0	0	0	6	2	7	5	6	8	61
AUTHORISE	0	5	0	265	0	21	0	2	46	3	4	3	8	349
ASS	0	0	1	0	0	0	0	0	0	0	0	1	2	2
AXIAL	0	3	0	0	0	0	4	0	7	1	0	1	5	16
AIRFLOW	0	23	0	1	0	0	0	0	0	0	4	1	4	29
AU	0	26	14	25	1	17	3	8	31	4	3	6	11	138
ABC	3	23	15	3	0	5	0	172	0	0	6	180	8	407
ANNEAL	0	60	27	0	6	8	7	0	5	1	2	3	9	119
ANTARCTICA	0	0	0	0	0	1	0	0	0	0	0	1	2	2
ASCII	13	30	3	8	3	0	0	2	2	2	35	1	10	99
ANALOGUE	7	9	2	0	1	3	2	5	0	1	1	2	10	33
AY	0	4	7	0	0	0	12	7	0	0	2	21	6	53
BEHAVIOUR	147	276	708	288	24	274	53	611	235	310	208	282	12	3416
BOOLEAN	181	42	86	40	7	0	3	61	49	93	13	151	11	726
B	1321	2416	3374	660	397	1065	1868	3392	548	456	1079	1305	12	17881
BORING	1	2	5	6	3	1	6	2	1	24	1	3	12	55
BA	7	14	76	0	7	1	5	29	2	1	3	10	11	155
BRAY	0	0	0	0	0	3	0	0	4	0	0	1	3	8
BC	7	8	10	2	4	7	6	34	14	2	3	4	12	101
BRAZIL	0	1	1	1	0	1	0	1	2	0	0	1	7	8
BRITAIN	2	8	6	13	0	3	0	24	2	7	0	2	9	67
BOOKING	0	0	1	1	0	2	0	2	0	5	0	3	6	14
BOTANIC	0	0	2	0	0	0	0	0	0	0	0	1	2	3
BSC	0	0	1	7	0	0	0	0	0	0	0	2	3	10
BOXED	2	13	0	2	1	0	1	0	5	8	0	1	8	33
BUSTED	0	1	0	0	0	0	0	0	0	1	1	4	4	7
CALIFORNIA	7	22	19	27	6	3	6	16	5	4	17	3	12	135
CENTRE	61	220	346	238	260	237	491	149	295	116	215	172	12	2800
CONCERTED	0	1	2	5	0	0	1	0	0	0	0	1	5	10
COLOUR	207	185	757	26	870	129	625	144	66	367	29	101	12	3506
CATALOGUE	3	8	3	49	4	5	3	4	96	20	8	8	12	211
C	1224	2210	1785	1227	356	1157	1254	2408	979	540	1516	1260	12	15916
CENTIMETRE	0	75	97	59	1	51	5	37	55	8	13	43	11	444
CORTICAL	0	2	20	0	1	0	0	0	0	0	0	29	4	52
CATHODE	0	5	1	1	0	0	4	0	0	0	0	1	5	12
CHROMATIC	0	2	1	1	0	12	20	0	0	0	0	1	6	37
COVARIANCE	1	4	36	27	26	60	248	0	9	3	0	37	10	451
CLOSES	64	163	256	44	9	23	70	102	16	65	70	27	12	909
CAPITALISE	2	2	4	2	0	3	0	1	7	10	4	3	10	38
CANADA	4	17	4	14	1	6	4	28	9	13	3	10	12	113
CPU	1	152	36	52	11	30	5	0	113	38	524	53	11	1015
CONGESTED	8	23	2	20	0	9	0	10	2	0	6	2	9	82
CUSTOMISE	1	15	2	23	3	0	0	11	29	17	7	5	10	113
CF	2	19	142	24	7	24	5	60	51	8	2	10	12	354
CANS	0	0	0	2	2	0	0	0	1	2	1	1	6	9
CD	11	52	13	38	18	10	8	26	21	6	184	8	12	395
COMPLAINTS	2	5	2	7	0	5	0	2	0	5	0	6	8	34
CHRISTMAS	0	1	1	5	1	0	2	1	0	4	1	1	9	17
COUNTESS	0	0	0	0	0	0	0	4	0	0	0	1	2	5
DECEMBER	6	46	20	80	10	40	14	7	5	55	19	83	12	385
DEFENCE	31	12	24	248	0	1	2	9	8	5	8	11	11	359
DIFFRACTION	0	21	0	3	2	2	2	0	6	0	0	1	7	37
D	664	3208	1986	799	268	848	1920	1442	579	275	633	871	12	13493
DISABLED	37	69	29	75	18	27	26	22	22	66	190	104	12	685
DIPOLE	0	0	3	1	1	2	0	0	32	0	0	3	6	42
DENDRITE	0	0	1	0	0	0	0	0	0	0	0	2	2	3
DATASET	14	51	307	173	231	258	415	43	58	99	14	16	12	1679
DIGITISE	1	8	0	7	4	0	8	1	0	1	0	2	8	32
DOS	0	2	0	124	3	0	2	2	7	3	62	8	9	213
DESPATCH	1	25	20	8	0	0	0	24	7	7	46	1	9	139
DEUTSCHMARK	1	80	22	12	3	3	5	29	0	0	13	18	10	186
DISC	76	117	11	68	9	98	13	23	21	20	1280	29	12	1765
DECREMENT	11	10	1	2	0	0	0	0	0	10	35	10	7	79
DELIMIT	1	4	59	4	1	1	1	2	1	3	3	2	12	82
DEMARCATE	0	0	0	1	0	0	1	0	2	0	1	1	5	6
DRUNKARD	0	0	0	0	0	0	0	0	0	0	0	6	1	6
DJ	11	0	11	17	0	17	5	6	0	0	20	6	8	93
ET	26	712	1212	300	436	669	783	555	1800	525	238	449	12	7705
E	991	9271	2476	1630	381	1532	1803	2179	962	1022	1142	1150	12	24539
ESPECIAL	19	87	110	134	41	49	64	70	58	91	64	37	12	824
ETC	50	74	149	84	39	72	160	90	56	97	124	33	12	1028
EUROPE	3	14	14	68	8	31	6	51	32	20	5	18	12	270
ENDEAVOUR	1	2	1	9	0	7	3	2	7	7	0	1	10	40
EEG	0	5	6	0	0	0	0	0	0	30	0	146	4	187
EXTRACELLULAR	0	0	0	0	0	0	0	3	2	0	0	1	3	6
EXOGENOUS	0	1	1	0	0	6	0	58	5	0	0	16	6	87
ENDOGENOUS	0	0	0	0	0	1	0	42	7	0	0	11	4	61
ECG	0	0	0	0	0	0	0	0	9	3	0	10	3	22
EGYPT	0	1	0	4	1	0	1	5	1	0	0	2	7	15
EXTRINSIC	0	1	5	0	0	24	15	1	1	2	0	1	8	50
ENROL	0	1	0	4	0	1	0	34	0	1	1	1	7	43
FIRMS	29	1	0	13	0	10	1	171	0	6	0	3	8	234
F	1216	1286	2650	646	214	912	1287	2656	218	340	439	660	12	12524
FM	2	6	37	6	8	51	7	0	0	6	4	6	10	133
FAVOUR	12	45	45	32	15	30	51	36	36	31	51	31	12	415
False	5	19	3	4	2	1	1	0	0	1	0	1	9	37
FLAVOUR	4	11	8	8	1	11	1	6	1	5	17	1	12	74
FACTO	0	1	4	9	0	1	0	2	3	0	1	2	8	23
FULFIL	2	6	22	9	0	11	5	18	8	35	10	14	11	140
FRANCE	2	6	30	14	7	28	11	28	10	14	5	2	12	157
FILENAME	0	4	3	4	3	3	5	12	3	22	30	4	11	93
FINED	3	11	4	17	2	1	6	6	6	4	3	2	12	65
FRIDAY	47	2	3	8	0	16	15	6	1	14	5	11	11	128
FELLED	0	0	0	0	0	0	1	0	0	0	0	1	2	2
G	808	1200	1574	958	312	943	1026	1198	765	469	414	607	12	10274
GREY	20	25	32	8	38	14	75	6	28	29	5	8	12	288
GERMANY	11	5	40	37	6	7	9	18	14	10	0	6	11	163
GENERALS	5	43	31	15	5	15	20	9	16	17	14	9	12	199
GREECE	0	5	0	19	0	6	2	15	1	2	1	3	9	54
GP	0	16	69	64	0	16	11	12	14	54	1	5	10	262
GERIATRIC	0	0	0	0	0	0	0	0	0	0	0	1	1	1
GI	72	10	16	2	11	6	9	8	30	0	41	8	11	213
GREGORIAN	0	0	0	0	0	0	0	0	0	0	0	2	1	2
GRANDER	0	0	0	1	0	0	0	0	0	0	0	1	2	2
HETEROGENEITY	3	43	35	24	1	35	1	67	34	22	64	19	12	348
H	602	886	1014	599	154	637	952	319	276	358	469	408	12	6674
HUMANITIES	0	0	0	5	0	9	0	1	0	2	0	1	5	18
HABITUATE	0	0	0	0	0	0	0	3	0	4	0	3	3	10
HUNGARY	1	0	0	1	0	1	0	1	5	0	2	1	7	12
HANDHELD	0	2	14	5	1	1	0	0	2	14	5	2	9	46
HESSIAN	0	0	9	0	5	1	132	0	12	0	0	1	6	160
HULLO	195	102	44	4	5	15	57	25	11	34	41	48	12	581
HEBREW	0	1	2	0	0	0	0	0	9	1	0	1	5	14
HONOUR	6	2	22	9	1	5	0	5	3	6	4	3	11	66
IBM	1	43	10	49	11	6	2	10	4	20	72	32	12	260
ITALY	2	3	17	6	2	11	4	7	4	4	0	3	11	63
INVARIANT	35	37	24	4	64	9	285	18	13	38	6	29	12	562
IRISH	0	3	0	1	4	3	0	1	4	3	0	3	8	22
INERTIAL	0	0	11	0	0	0	0	0	0	10	0	3	3	24
INCIPIENT	0	0	0	1	0	0	0	0	1	0	0	1	3	3
INDIA	3	1	12	11	2	2	4	16	2	10	1	5	12	69
ICELAND	0	0	0	0	0	0	0	0	0	0	0	1	1	1
INDONESIA	0	0	0	1	0	1	0	1	0	0	0	1	4	4
IE	0	10	1	11	2	3	0	6	18	2	1	3	10	57
ISRAEL	0	1	4	14	0	0	0	1	36	2	1	1	8	60
J	768	1018	1376	424	324	509	954	1072	808	183	987	1445	12	9868
JUNE	10	36	6	61	2	36	0	17	7	11	13	22	11	221
K	1119	1673	1279	773	184	967	1670	1754	367	176	400	1112	12	11474
KAISER	0	0	0	0	2	4	0	3	0	0	0	5	4	14
